Water,Geno,Layer,Length.cm..mean,ProjArea.cm2..mean,SurfArea.cm2..mean,AvgDiam.mm..mean,RootVolume.cm3..mean,Tips.mean,Forks.mean,Crossings.mean,X0..L...0.1500000.mean,X0.1500000..L...0.3000000.mean,X0.3000000..L...0.5000000.mean,X0.5000000..L...1.0000000.mean,.L..1.0000000.mean,X0..SA...0.1500000.mean,X0.1500000..SA...0.3000000.mean,X0.3000000..SA...0.5000000.mean,X0.5000000..SA...1.0000000.mean,.SA..1.0000000.mean,X0..PA...0.1500000.mean,X0.1500000..PA...0.3000000.mean,X0.3000000..PA...0.5000000.mean,X0.5000000..PA...1.0000000.mean,.PA..1.0000000.mean,X0..V...0.1500000.mean,X0.1500000..V...0.3000000.mean,X0.3000000..V...0.5000000.mean,X0.5000000..V...1.0000000.mean,.V..1.0000000.mean,X0..T...0.1500000.mean,X0.1500000..T...0.3000000.mean,X0.3000000..T...0.5000000.mean,X0.5000000..T...1.0000000.mean,.T..1.0000000.mean,Length.cm..se,ProjArea.cm2..se,SurfArea.cm2..se,AvgDiam.mm..se,RootVolume.cm3..se,Tips.se,Forks.se,Crossings.se,X0..L...0.1500000.se,X0.1500000..L...0.3000000.se,X0.3000000..L...0.5000000.se,X0.5000000..L...1.0000000.se,.L..1.0000000.se,X0..SA...0.1500000.se,X0.1500000..SA...0.3000000.se,X0.3000000..SA...0.5000000.se,X0.5000000..SA...1.0000000.se,.SA..1.0000000.se,X0..PA...0.1500000.se,X0.1500000..PA...0.3000000.se,X0.3000000..PA...0.5000000.se,X0.5000000..PA...1.0000000.se,.PA..1.0000000.se,X0..V...0.1500000.se,X0.1500000..V...0.3000000.se,X0.3000000..V...0.5000000.se,X0.5000000..V...1.0000000.se,.V..1.0000000.se,X0..T...0.1500000.se,X0.1500000..T...0.3000000.se,X0.3000000..T...0.5000000.se,X0.5000000..T...1.0000000.se,.T..1.0000000.se,Layer2
Irrigated,Harrington,1,551.4087,8.51835,26.76125,0.15465,0.103,2427.5,1774.5,382.5,374.37385,158.34595,16.1885,2.22815,0,10.68595,10.2651,1.9329,0.40385,0,3.40145,3.2675,0.6153,0.1286,0,0.0269,0.0548,0.0187,0.00585,0,2128.5,271.5,24.5,3,0,96.9181,1.44425,4.53725,0.00095,0.017,626.5,290.5,67.5,81.59995,11.51325,4.5409,0.80285,0,2.59245,0.8812,0.5244,0.14325,0,0.82525,0.2805,0.1669,0.0456,0,0.0069,0.0056,0.0049,0.00205,0,511.5,105.5,10.5,1,0,15
Rainfed,Harrington,1,374.45405,5.6295,17.6856,0.1505,0.0665,2008.5,1073,207,263.1142,104.1178,6.59485,0.61015,0,7.76785,6.68315,0.7674,0.11115,0,2.47255,2.1273,0.24425,0.0354,0,0.0201,0.0353,0.0072,0.00165,0,1729.5,260.5,16.5,2,0,19.40965,0.1919,0.603,0.0027,0.0015,234.5,128,27,16.7289,5.8011,2.55465,0.56755,0,0.51295,0.36825,0.3172,0.10405,0,0.16325,0.1172,0.10095,0.0331,0,0.0013,0.0019,0.0032,0.00155,0,164.5,58.5,9.5,2,0,15
Irrigated,OSU 102,1,703.1298,10.7324,33.71685,0.15215,0.129,3179.5,2672,581.5,505.4879,177.67645,18.11575,1.6987,0.03735,15.06725,11.35455,2.0789,0.3307,0.01445,4.79605,3.61425,0.66175,0.1053,0.0046,0.03915,0.0599,0.01925,0.00525,0.00045,2738,415.5,21,5,0,60.7846,1.3315,4.18285,0.00575,0.021,403.5,103,6.5,23.2121,33.85435,3.53555,0.1918,0.03735,1.03955,2.17895,0.3796,0.0358,0.01445,0.33095,0.69355,0.12085,0.0114,0.0046,0.00345,0.0116,0.00325,0.00055,0.00045,277,119.5,3,4,0,15
Rainfed,OSU 102,1,568.47485,8.727,27.4166,0.16205,0.1055,2766.5,2464,570.5,397.69035,156.1156,13.82065,0.72915,0,11.7344,9.97475,1.60125,0.13245,0,3.73515,3.17505,0.5097,0.04215,0,0.03045,0.05245,0.015,0.00195,0,2410,342.5,13.5,0.5,0,425.59565,6.2477,19.6278,0.01145,0.0715,1737.5,1776,502.5,315.32725,100.6736,9.08245,0.43135,0,9.1884,6.44345,1.04865,0.07945,0,2.92475,2.05105,0.3338,0.02525,0,0.02355,0.03395,0.0098,0.00115,0,1597,137.5,3.5,0.5,0,15
Irrigated,OSU 105,1,526.9423,8.08075,25.3863,0.15345,0.0975,2546,1699,326.5,359.3168,156.98625,10.1186,0.4388,0,10.7712,9.96105,1.16635,0.0829,0,3.4286,3.1707,0.37125,0.0264,0,0.0282,0.05205,0.01085,0.0013,0,2120,405,20.5,0.5,0,4.8507,0.34505,1.084,0.00795,0.0095,335,12,32.5,33.8083,28.14155,1.0225,0.167,0,0.8051,1.76935,0.11505,0.0287,0,0.2563,0.5632,0.03665,0.0091,0,0.0017,0.00905,0.00105,4.00E-04,0,376,39,2.5,0.5,0,15
Rainfed,OSU 105,1,336.7935,5.1195,16.08335,0.1549,0.061,1783,1117.5,203,236.1482,89.91345,9.29655,1.2257,0.08955,6.8053,5.7526,1.08965,0.24545,0.03245,2.1662,1.8311,0.34685,0.07815,0.01035,0.0173,0.0303,0.01035,0.00415,0.00095,1571,200.5,11,0.5,0,136.6262,1.8777,5.89895,0.0071,0.02,926,698.5,157,106.0861,28.60695,1.85475,0.0472,0.07615,3.0866,1.7215,0.23195,0.01245,0.02815,0.9825,0.548,0.07385,0.00395,0.00895,0.008,0.0085,0.00235,0.00065,0.00085,813,107.5,6,0.5,0,15
Irrigated,OSU 107,1,764.46485,11.7135,36.79905,0.15285,0.141,3567,2772,664,532.3429,207.22085,22.291,2.45055,0,15.65935,13.0298,2.61355,0.45675,0,4.98455,4.14755,0.8319,0.14535,0,0.04035,0.06735,0.02475,0.0069,0,3094,443.5,26,3.5,0,94.04825,1.6631,5.22475,0.00295,0.023,169,303,76,48.0764,42.75585,3.3687,0.12505,0,1.54435,2.7182,0.35905,0.02435,0,0.49155,0.86525,0.1143,0.00775,0,0.00425,0.01425,0.00305,4.00E-04,0,96,62.5,9,1.5,0,15
Rainfed,OSU 107,1,623.28075,9.0535,28.4424,0.14315,0.1035,3130.5,2167.5,535.5,451.54245,164.27405,7.03795,0.32295,0,13.1889,10.27085,0.80355,0.0608,0,4.1982,3.2693,0.2558,0.0194,0,0.03385,0.0526,0.0074,0.00095,0,2740.5,373.5,16,0.5,0,159.13855,2.7875,8.7573,0.00815,0.0375,773.5,486.5,104.5,83.73035,72.33395,2.88185,0.13795,0,2.7945,4.52365,0.32775,0.0239,0,0.8895,1.4399,0.1043,0.0076,0,0.00785,0.0231,0.003,0.00035,0,579.5,184.5,9,0.5,0,15
Irrigated,OSU 12,1,678.417,11.59665,36.432,0.17365,0.156,3580,3119,596,414.01795,236.6786,23.66515,3.7338,0.02805,12.4443,15.2273,2.79185,0.708,0.00895,3.96115,4.847,0.88865,0.22535,0.00285,0.03285,0.0806,0.02665,0.0109,0.00025,2929.5,601.5,42.5,6,0.5,205.3643,2.95875,9.2953,0.00895,0.032,639,612,280,153.30705,49.6312,1.49835,0.7062,0.01745,4.6116,3.0897,0.19025,0.1563,0.00555,1.46795,0.9835,0.06055,0.04975,0.00175,0.01205,0.0157,0.00195,0.0028,0.00015,572.5,68.5,3.5,1,0.5,15
Rainfed,OSU 12,1,1140.493,22.56925,70.9033,0.3026,0.352,4718,4999,900.5,516.2139,549.21645,66.4648,8.21495,0.0432,16.7806,35.80645,7.84055,1.5657,0.01455,5.34145,11.39755,2.4957,0.4984,0.0046,0.04695,0.19225,0.0748,0.02435,4.00E-04,3247.5,1346.5,107.5,16.5,0,11.7772,1.56785,4.9256,0.1165,0.045,548,153,227.5,61.4303,49.54955,21.4094,2.19035,0.034,2.0277,3.91275,2.54335,0.3883,0.01165,0.64545,1.24545,0.8096,0.1236,0.0037,0.00565,0.02485,0.0244,0.00555,3.00E-04,163.5,312.5,61.5,10.5,0,15
